14:35:42 keys EncounterDialog→TravelList completed_timeout 10047ms
14:36:09 auto_place_units BattleFormation→BattleMyTurn completed 5469ms
14:37:21 battle_move BattleMyTurn→BattleMyTurn completed 2837ms
14:37:42 battle_wait BattleMyTurn→BattleMyTurn completed 14581ms
14:38:41 battle_attack BattleMyTurn→BattleAttacking completed 5840ms
14:39:28 battle_wait BattleMyTurn→BattleMyTurn completed 7369ms
14:40:23 battle_move BattleMyTurn→BattleMyTurn completed 2390ms
14:41:01 battle_wait BattleMyTurn→BattleMyTurn completed 13082ms
14:41:33 battle_attack BattleMyTurn→BattleAttacking completed 5797ms
14:42:02 battle_wait BattleMyTurn→BattleMyTurn completed 9942ms
14:43:10 battle_ability BattleMyTurn→BattleAbilities completed 7664ms
14:44:40 battle_ability BattleMyTurn→BattleAttacking completed 7302ms
14:45:45 battle_wait BattleMyTurn→BattleMyTurn completed 7656ms
14:46:31 battle_move BattleMyTurn→BattleMyTurn completed 2829ms
14:46:53 battle_attack BattleMyTurn→BattleAttacking completed 5510ms
14:50:36 battle_attack BattleAttacking→BattleEnemiesTurn failed 3318ms err=Escape-to-known-state failed: expected BattleMyTurn/BattleActing after 3 Escapes, got BattleEnemiesTurn
14:51:29 battle_move BattleMyTurn→BattleMyTurn completed 2414ms
14:51:50 battle_attack BattleMyTurn→BattleAttacking completed 5483ms
— 18/137 rows from session_20260427_143320_576.jsonl
